pelvis_x,pelvis_y,pelvis_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,torso_x,torso_y,torso_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,neck_x,neck_y,neck_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_big_toe_x,left_big_toe_y,left_big_toe_z,right_big_toe_x,right_big_toe_y,right_big_toe_z,left_small_toe_x,left_small_toe_y,left_small_toe_z,right_small_toe_x,right_small_toe_y,right_small_toe_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_pinky_knuckle_x,left_pinky_knuckle_y,left_pinky_knuckle_z,right_pinky_knuckle_x,right_pinky_knuckle_y,right_pinky_knuckle_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,left_index_knuckle_x,left_index_knuckle_y,left_index_knuckle_z,right_index_knuckle_x,right_index_knuckle_y,right_index_knuckle_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z, right_thumb_tip_x, right_thumb_tip_y, right_thumb_tip_z
1711.8,-22.6,6583.3,1744.4,-46.6,6511.4,1674.6,-29.3,6653.3,1708.9,-296.5,6567.5,1774.4,416.8,6516.4,1710.2,384.2,6693.9,1712.1,-551.3,6559.3,1823.1,768.8,6520.5,1762.1,723.3,6731.1,1667.4,856.7,6498.4,1595.2,816.7,6695.3,1693.8,867.6,6448.6,1601.2,805.3,6740.1,1861.3,830.3,6536.9,1804.8,788.5,6728.5,1595.2,-624.6,6517.4,1624.4,-672.3,6504.1,1608.9,-665.1,6555.0,1705.0,-674.6,6508.1,1683.6,-658.9,6602.0,1791.9,-522.3,6455.4,1694.8,-482.2,6693.5,1824.8,-229.1,6426.2,1671.8,-207.8,6760.1,1698.9,-7.5,6387.5,1602.7,14.5,6748.6,1686.0,70.8,6360.7,1588.7,87.8,6762.5,1651.6,116.2,6396.4,1587.1,123.5,6719.1,1641.6,59.3,6375.1,1568.3,82.4,6734.1,1624.1,75.3,6390.9,1578.0,95.4,6715.2
1714.9,-24.4,6593.0,1747.3,-48.9,6520.9,1677.1,-31.0,6663.1,1711.7,-297.2,6577.8,1777.3,415.1,6526.9,1713.5,384.6,6701.7,1714.9,-552.2,6570.0,1826.1,770.0,6531.5,1763.8,726.3,6735.7,1669.2,856.2,6506.1,1597.4,817.3,6700.1,1696.1,867.2,6457.9,1602.9,805.9,6744.6,1863.8,831.4,6547.0,1806.4,791.0,6734.7,1597.7,-625.6,6528.3,1627.0,-673.1,6514.5,1611.6,-666.2,6565.8,1707.8,-675.3,6518.4,1686.6,-660.0,6612.1,1794.8,-523.1,6465.8,1697.6,-483.0,6704.3,1826.4,-229.0,6436.1,1674.4,-207.9,6768.8,1701.5,-7.0,6395.3,1604.9,14.8,6756.9,1689.6,71.0,6368.8,1591.2,88.3,6770.7,1655.7,116.2,6404.4,1590.0,124.2,6727.7,1644.8,59.5,6383.0,1571.0,83.0,6742.0,1627.7,75.5,6399.2,1581.2,96.2,6723.5
1718.4,-26.4,6603.4,1750.6,-51.9,6531.1,1679.9,-33.4,6673.7,1714.8,-298.1,6588.7,1780.3,412.6,6537.5,1717.0,385.1,6710.5,1717.8,-553.2,6581.2,1829.0,771.2,6542.6,1766.1,730.0,6741.6,1671.3,855.5,6514.4,1600.3,818.0,6706.4,1698.5,866.4,6467.3,1605.2,806.6,6750.6,1866.2,832.7,6557.2,1808.1,794.1,6742.1,1600.3,-626.6,6539.7,1629.7,-674.0,6525.3,1614.5,-667.3,6577.1,1710.7,-676.0,6529.2,1689.9,-661.1,6622.9,1797.9,-523.7,6476.9,1700.6,-483.8,6715.5,1827.6,-228.7,6446.6,1677.3,-208.1,6778.6,1704.7,-6.6,6404.0,1607.5,15.2,6766.1,1694.1,71.1,6377.9,1594.2,88.9,6779.6,1660.8,116.2,6413.3,1593.4,125.3,6736.8,1649.0,59.6,6391.9,1574.5,83.8,6750.6,1632.2,75.8,6408.4,1585.3,97.4,6732.4
1720.4,-29.2,6609.0,1752.7,-55.1,6536.5,1681.3,-35.8,6679.3,1716.5,-298.8,6594.8,1782.2,410.1,6544.0,1719.9,385.3,6714.5,1719.4,-553.7,6587.7,1830.8,771.9,6549.7,1767.2,733.5,6743.0,1672.4,854.5,6519.2,1602.7,818.2,6708.1,1699.9,865.4,6473.1,1606.9,806.8,6751.9,1867.4,833.4,6563.5,1808.6,796.8,6744.8,1601.7,-627.1,6546.4,1631.3,-674.4,6531.5,1616.2,-667.9,6583.7,1712.4,-676.2,6535.4,1691.9,-661.7,6629.0,1799.7,-524.0,6483.2,1702.1,-484.3,6722.0,1827.8,-228.6,6452.5,1678.9,-208.1,6783.3,1707.2,-6.3,6408.6,1608.7,15.5,6770.3,1697.8,71.1,6382.5,1595.9,89.3,6783.8,1664.9,116.0,6417.8,1595.4,126.0,6741.3,1652.3,59.7,6396.3,1576.3,84.4,6754.4,1635.7,75.8,6412.9,1587.7,98.2,6736.6
1723.6,-31.9,6618.2,1756.0,-58.1,6545.6,1683.7,-38.2,6688.5,1719.3,-299.7,6604.5,1784.8,408.3,6553.7,1723.5,385.8,6722.2,1722.0,-554.6,6597.6,1833.6,773.1,6559.9,1769.2,737.1,6748.4,1674.2,853.8,6527.0,1605.5,818.9,6713.8,1702.1,864.9,6482.2,1609.3,807.5,6757.2,1869.8,834.6,6573.0,1810.1,799.7,6751.3,1603.9,-627.7,6556.4,1633.7,-674.9,6541.1,1618.6,-668.7,6593.6,1715.1,-676.8,6545.0,1694.7,-662.6,6638.5,1802.5,-524.6,6493.0,1704.6,-485.0,6731.9,1829.1,-228.7,6462.0,1681.4,-208.3,6791.6,1710.6,-6.1,6416.2,1610.6,16.2,6778.3,1702.3,71.2,6390.4,1598.1,90.2,6791.6,1669.4,116.0,6425.3,1597.8,127.5,6749.3,1656.2,59.8,6403.9,1578.4,85.6,6761.9,1639.8,76.0,6420.8,1590.2,99.8,6744.5
1725.2,-33.0,6621.9,1757.8,-60.0,6549.3,1684.6,-39.5,6692.2,1720.5,-300.1,6608.6,1786.0,407.2,6557.8,1725.1,386.0,6724.7,1723.0,-554.9,6601.8,1834.6,773.5,6564.5,1769.9,739.5,6749.0,1674.8,852.8,6529.5,1606.9,818.9,6714.7,1702.9,864.0,6485.5,1610.2,807.6,6757.8,1870.3,835.0,6576.8,1810.2,801.9,6752.9,1604.5,-628.0,6560.7,1634.7,-675.2,6544.9,1619.6,-669.1,6597.8,1716.1,-676.7,6548.9,1695.9,-663.0,6642.3,1803.7,-524.6,6497.3,1705.6,-485.3,6735.9,1828.9,-228.5,6466.1,1682.4,-208.3,6794.4,1712.0,-5.9,6418.9,1611.2,17.0,6780.8,1704.4,71.3,6393.2,1598.8,91.4,6794.0,1672.2,115.8,6427.9,1598.5,129.3,6752.0,1658.2,59.9,6406.6,1579.0,87.1,6764.2,1642.2,76.2,6423.7,1591.0,101.7,6747.1
1726.7,-34.6,6627.3,1759.4,-61.7,6554.5,1686.0,-40.8,6697.7,1721.9,-300.8,6614.3,1787.7,406.0,6563.9,1727.2,386.2,6728.6,1724.3,-555.4,6607.8,1836.3,774.1,6571.0,1771.1,741.3,6750.6,1676.1,852.3,6534.3,1609.7,819.2,6716.9,1704.4,863.5,6491.1,1612.5,807.9,6759.5,1871.5,835.7,6582.6,1810.8,803.8,6755.5,1605.4,-628.3,6566.9,1636.0,-675.5,6550.7,1621.0,-669.5,6603.9,1717.6,-676.9,6554.7,1697.3,-663.6,6648.0,1805.2,-524.9,6503.2,1706.9,-485.7,6741.9,1829.0,-228.5,6471.7,1683.9,-208.3,6799.1,1713.6,-5.5,6423.3,1612.2,17.8,6785.5,1706.3,71.3,6397.9,1599.9,92.3,6798.7,1674.3,115.8,6432.4,1599.7,130.4,6757.1,1659.9,60.0,6411.1,1580.1,88.1,6768.8,1644.1,76.5,6428.3,1592.2,102.8,6752.1
1728.1,-37.1,6633.2,1761.1,-63.0,6560.4,1687.3,-42.0,6703.6,1723.4,-301.4,6620.5,1789.6,405.9,6570.7,1729.1,386.5,6733.6,1725.6,-555.9,6614.4,1838.2,774.9,6578.2,1772.5,742.8,6754.1,1677.4,852.4,6539.5,1611.5,819.6,6720.5,1706.0,863.5,6497.3,1614.1,808.5,6762.7,1873.2,836.5,6589.3,1811.9,805.4,6760.2,1605.8,-628.7,6573.6,1637.4,-675.9,6557.1,1622.2,-670.0,6610.6,1719.2,-677.1,6561.0,1698.9,-664.2,6654.5,1807.0,-525.1,6509.7,1708.1,-486.2,6748.7,1829.6,-228.3,6478.0,1685.1,-208.0,6804.4,1714.9,-5.1,6428.2,1613.5,19.0,6791.1,1708.0,71.5,6402.8,1601.3,93.2,6804.7,1675.8,115.9,6437.1,1601.1,131.2,6763.2,1661.1,60.3,6415.8,1581.4,89.0,6774.6,1645.5,76.9,6433.0,1593.7,103.8,6758.1
1729.8,-38.9,6640.2,1763.1,-64.4,6567.3,1688.8,-43.2,6710.6,1725.2,-302.0,6627.9,1791.5,405.7,6577.7,1731.0,386.9,6740.0,1726.8,-556.5,6622.2,1840.1,775.6,6585.1,1774.4,743.8,6759.3,1678.6,852.6,6544.8,1613.4,820.2,6725.9,1707.5,863.8,6503.2,1615.9,809.1,6767.9,1874.8,837.3,6595.7,1813.4,806.5,6765.9,1606.5,-629.2,6581.4,1639.0,-676.5,6564.7,1623.5,-670.6,6618.5,1721.0,-677.3,6568.5,1700.7,-664.9,6662.1,1808.8,-525.6,6517.3,1709.1,-486.7,6756.5,1830.3,-228.4,6485.3,1686.8,-208.0,6810.9,1716.7,-4.8,6434.5,1615.0,19.7,6797.8,1710.0,71.7,6409.1,1602.9,94.0,6811.7,1678.0,115.9,6443.3,1602.7,132.1,6770.4,1662.9,60.5,6422.1,1582.9,89.8,6781.5,1647.4,77.3,6439.2,1595.2,104.8,6765.2
1730.5,-39.9,6643.2,1763.9,-65.6,6570.3,1689.1,-43.9,6713.6,1725.8,-302.5,6631.2,1792.4,405.1,6581.0,1731.7,387.0,6742.0,1726.6,-556.7,6626.0,1840.9,775.8,6588.6,1774.9,744.5,6759.8,1679.1,852.3,6547.0,1614.4,820.3,6726.6,1708.2,863.5,6505.9,1616.7,809.3,6768.4,1875.2,837.5,6598.8,1813.6,807.1,6767.1,1606.1,-629.3,6585.2,1639.2,-676.6,6568.2,1623.3,-670.6,6622.3,1721.3,-677.3,6572.1,1701.4,-665.3,6665.7,1809.4,-525.8,6520.9,1708.8,-486.9,6760.1,1830.2,-228.5,6488.5,1687.2,-207.6,6813.3,1717.3,-4.7,6436.5,1615.3,21.1,6800.1,1710.8,71.6,6411.1,1603.3,95.3,6813.8,1678.7,115.9,6445.1,1603.2,133.2,6772.9,1663.6,60.5,6423.9,1583.3,91.1,6783.6,1648.1,77.4,6441.1,1595.7,105.9,6767.6
