Subject,Activity,Trial,File,Type,CutFrames,OrigRmse,TheoRmse
S41,A01,T02,/mnt/dataset/videoandimus/S41/S41_A01_T02.mp4,mp4,4,12.386718065229978,6.09109941764751
S41,A01,T02,/mnt/dataset/videoandimus/S41/S41_A01_T02.csv,csv,4,12.386718065229978,6.09109941764751
S42,A01,T01,/mnt/dataset/videoandimus/S42/S42_A01_T01.mp4,mp4,3,8.815781622469204,2.9523557782552534
S42,A01,T01,/mnt/dataset/videoandimus/S42/S42_A01_T01.csv,csv,3,8.815781622469204,2.9523557782552534
S44,A01,T01,/mnt/dataset/videoandimus/S44/S44_A01_T01.raw,raw,1,4.613521266473442,3.2289120536203924
S44,A01,T01,/mnt/dataset/videoandimus/S44/ik_S44_A01_T01.mot,mot,1,4.613521266473442,3.2289120536203924
S48,A01,T01,/mnt/dataset/videoandimus/S48/S48_A01_T01.mp4,mp4,1,3.395409163380456,3.3878055504523434
S48,A01,T01,/mnt/dataset/videoandimus/S48/S48_A01_T01.csv,csv,1,3.395409163380456,3.3878055504523434
S50,A01,T03,/mnt/dataset/videoandimus/S50/S50_A01_T03.raw,raw,1,5.873651277581151,4.998200441560891
S50,A01,T03,/mnt/dataset/videoandimus/S50/ik_S50_A01_T03.mot,mot,1,5.873651277581151,4.998200441560891
S52,A01,T02,/mnt/dataset/videoandimus/S52/S52_A01_T02.raw,raw,3,7.633772399910218,2.815497908112176
S52,A01,T02,/mnt/dataset/videoandimus/S52/ik_S52_A01_T02.mot,mot,3,7.633772399910218,2.815497908112176
S54,A01,T03,/mnt/dataset/videoandimus/S54/S54_A01_T03.mp4,mp4,5,13.312492507118955,5.767177776223746
S54,A01,T03,/mnt/dataset/videoandimus/S54/S54_A01_T03.csv,csv,5,13.312492507118955,5.767177776223746
S55,A01,T02,/mnt/dataset/videoandimus/S55/S55_A01_T02.raw,raw,2,6.433149436131361,4.790940978111581
S55,A01,T02,/mnt/dataset/videoandimus/S55/ik_S55_A01_T02.mot,mot,2,6.433149436131361,4.790940978111581
S56,A01,T01,/mnt/dataset/videoandimus/S56/S56_A01_T01.raw,raw,3,10.921416510326122,7.408985898853394
S56,A01,T01,/mnt/dataset/videoandimus/S56/ik_S56_A01_T01.mot,mot,3,10.921416510326122,7.408985898853394
S57,A01,T02,/mnt/dataset/videoandimus/S57/S57_A01_T02.raw,raw,1,7.573720312869216,7.19668139162765
S57,A01,T02,/mnt/dataset/videoandimus/S57/ik_S57_A01_T02.mot,mot,1,7.573720312869216,7.19668139162765
